Class name,Subject name,Unit names,Chapter names
,,,"Chapter 10  Kathmandu
Poem 6        No men are foreing"
,,,"Chapter 11  If I were you
Poem 8        On killing a tree
Poem 10        A slumber did my spirit seal"
,,Supplementary- Reader,Chapter 1 The lost child
,,,Chapter 2 The adventures of toto
,,,Chapter 3 Iswaran the storyteller
,,,Chapter 4 In the kingdom of fools
,,,Chapter 5 The happy prince
,,,Chapter 6 Deleted
,,,Chapter 7 The last leaf
,,,Chapter 8 A house is not a home
,,,Chapter 9 Deleted
,,,Chapter 10 The beggar
Class 8,Mathematics,Chapter 1,Rational Numbers
,,Chapter 2,Linear Equations in One Variable
,,Chapter 3,Understanding Quadrilaterals
,,Chapter 4,Practical Geometry
,,Chapter 5,Data Handling
,,Chapter 6,Squares and Square Roots
,,Chapter 7,Cubes and Cube Roots
,,Chapter 8,Comparing Quantities
,,Chapter 9,Algebraic Expressions and Identities
,,Chapter 10,Visualising Solid Shapes
,,Chapter 11,Mensuration
,,Chapter 12,Exponents and Powers
,,Chapter 13,Direct and Inverse Proportions
,,Chapter 14,Factorisation
,,Chapter 15,Introduction to Graphs
,,Chapter 16,Playing with Numbers
,,,
,Science,Chapter 1,Crop Production and Management
,,Chapter 2,Microorganisms: Friend and Foe
,,Chapter 3,Synthetic Fibres and Plastics
,,Chapter 4,Materials: Metals and Non-Metals
,,Chapter 5,Coal and Petroleum
,,Chapter 6,Combustion and Flame
,,Chapter 7,Conservation of Plants and Animals
,,Chapter 8,Cell - Structure and Functions
,,Chapter 9,Reproduction in Animals
,,Chapter 10,Reaching the Age of Adolescence
,,Chapter 11,Force and Pressure
,,Chapter 12,Friction
,,Chapter 13,Sound
,,Chapter 14,Chemical Effects of Electric Current
,,Chapter 15,Some Natural Phenomena
,,Chapter 16,Light
,,Chapter 17,Stars and The Solar System
,,Chapter 18,Pollution of Air and Water
,,,
,"Social Science
History",Chapter 1,"How, When and Where"
,,Chapter 2,From Trade to Territory
,,Chapter 3,Ruling the Countryside
,,Chapter 4,"Tribals, Dikus and the Vision of the Golden Age"
,,Chapter 5,When People Rebel 1857 and After
,,Chapter 6,"Weavers, Iron Smelters and Factory Owners"
,,Chapter 7,"Civilising the “Native”, Educating the Nation"
,,Chapter 8,"Women, Caste, and Reform"
,,Chapter 9,The Making of the National Movement 1870s-1945
,,Chapter 10,India after Independence
,,,
,Geography,Chapter 1,Resources
,,Chapter 2,"Land, Soil, Water, Natural Vegetation and Wildlife Resources"
,,Chapter 3,Mineral and Power Resources
,,Chapter 4,Agriculture
,,Chapter 5,Industries
,,Chapter 6,Human Resources
,,,
,Political Science,Unit One: The Indian Constitution and Secularism,The Indian Constitution
,,,Understanding Secularism
,,Unit Two: Parliament and the Making of Laws,Why Do We Need a Parliament?
,,,Understanding Laws
,,Unit Three: The Judiciary,Judiciary
,,,Understanding Our Criminal Justice System
,,Unit Four: Social Justice and the Marginalised,Understanding Marginalism
,,,Confronting Marginalism
,,Unit Five: Economic Presence of the Government,Public Facilities
,,,Law and Social Justice
,English,Chapter 1,The Best Christmas Present in the World
,,Poem,The Ant and the Cricket
,,Chapter 2,The Tsunami
,,Poem,Geography Lesson
,,Chapter 3,Glimpses of the Past
,,Poem,Macavity: The Mystery Cat
,,Chapter 4,Bepin Choudhury's Lapse of Memory
,,Poem,The Last Bargain
,,Chapter 5,The Summit Within
,,Poem,The School Boy
,,Chapter 6,This is Jody’s Fawn
,,Poem,The Duck and the Kangaroos
,,Chapter 7,A Visit to Cambridge
,,Poem,When I set out for Lyonnesse
,,Chapter 8,A Short Monsoon Diary
,,Poem,On the Grasshopper and Cricket
,,Chapter 9,The Great Stone Face - I
,,Chapter 10,The Great Stone Face - II
,,,
,It So Happened – Supplementary Reader in English for Class VIII,Chapter 1,How the Camel got his Hump
,,Chapter 2,Children at work
,,Chapter 3,The Selfish Giant
,,Chapter 4,The Treasure Within
,,Chapter 5,Princess September
,,Chapter 6,The Fight
,,Chapter 7,The Open Window
,,Chapter 8,Jalebis
,,Chapter 9,The Comet - I
,,Chapter 10,The Comet - II
,,Chapter 11,Ancient Education System of India
Class 7,Mathematics,Chapter 1,Integers
,,Chapter 2,Fractions and Decimals
,,Chapter 3,Data Handling
,,Chapter 4,Simple Equations
,,Chapter 5,Lines and Angles
,,Chapter 6,The Triangle and its Properties
,,Chapter 7,Congruence of Triangles
,,Chapter 8,Comparing Quantities
,,Chapter 9,Rational Numbers
,,Chapter 10,Practical Geometry
,,Chapter 11,Perimeter and Area
,,Chapter 12,Algebraic Expressions
,,Chapter 13,Exponents and Powers
,,Chapter 14,Symmetry
,,Chapter 15,Visualizing Solid Shapes
,Science,Chapter 1,Nutrition in Plants
,,Chapter 2,Nutrition in Animals
,,Chapter 3,Fibre to Fabric
,,Chapter 4,Heat
,,Chapter 5,"Acids, Bases, and Salts"
,,Chapter 6,Physical and Chemical Changes
,,Chapter 7,"Weather, Climate and Adaptation of Animals to Climate"
,,Chapter 8,"Winds, Storms, and Cyclones"
,,Chapter 9,Soil
,,Chapter 10,Respiration in Organisms
,,Chapter 11,Transportation in Animals and Plants
,,Chapter 12,Reproduction in Plants
,,Chapter 13,Motion and Time
,,Chapter 14,Electric Current and Its Effects
,,Chapter 15,Light
,,Chapter 16,Water: A Precious Resource
,,Chapter 17,Forest: Our Lifeline
,,Chapter 18,Waste Water Story
,"Social Science
Social and Political Life",Chapter 1,On Equality
,,Chapter 2,Role of Government in Health
,,Chapter 3,How the State Government Works
,,Chapter 4,Growing Up as Boys and Girls
,,Chapter 5,Women Change the World
,,Chapter 6,Understanding Media
,,Chapter 7,Markets Around Us
,,Chapter 8,A Shirt in the Market
,,Chapter 9,Struggles for equality
,History,Chapter 10,Tracing Changes Through a Thousand Years
,,Chapter 11,New Kings and Kingdoms
,,Chapter 12,The Delhi Sultans
,,Chapter 13,The Mughal Empire
,,Chapter 14,Rulers and Buildings
,,Chapter 15,"Towns, Traders, and Craftsperson"
,,Chapter 16,"Tribes, Nomads, and Settled Communities"
,,Chapter 17,Devotional Paths to the Divine
,,Chapter 18,The Making of Regional Cultures
,,Chapter 19,Eighteenth-Century Political Formations
,Geography,Chapter 20,Environment
,,Chapter 21,Inside Our Earth
,,Chapter 22,Our Changing Earth
,,Chapter 23,Air
,,Chapter 24,Water
,,Chapter 25,Natural Vegetation and Wildlife
,,Chapter 26,"Human Environment Settlement, Transport and Communication."
,,Chapter 27,Human Environment and Interaction – The Tropical and Subtropical Region
,,Chapter 28,Life in Temperate Grasslands
,,Chapter 29,Life in the Deserts
,"English 
Honeycomb",Chapter 1,Three Questions
,,Chapter 2,A Gift of Chappals
,,Chapter 3,Gopal and the Hilsa Fish
,,Chapter 4,The Ashes that Made Trees Bloom
,,Chapter 5,Quality
,,Chapter 6,Expert Detectives
,,Chapter 7,The Invention of Vita–Wonk
,,Chapter 8,Fire Friend and Foe
,,Chapter 9,A Bicycle in Good Repair
,,Chapter10,The Story of Cricket
,"English
An Alien Hand",Chapter 1,The Tiny Teacher
,,Chapter 2,Bringing Up Kari
,,Chapter 3,The Desert
,,Chapter 4,The Cop and the Anthem
,,Chapter 5,Golu Grows a Nose
,,Chapter 6,I Want Something in the Cage
,,Chapter 7,Chandni
,,Chapter 8,The Bear Story
,,Chapter 9,A Tiger in the House
,,Chapter 10,An Alien Hand
Class 6,Mathematics,Chapter 1,Knowing Our Numbers
,,Chapter 2,Whole Numbers
,,Chapter 3,Playing With Numbers
,,Chapter 4,Basic Geometrical Ideas
,,Chapter 5,Understanding Elementary Shapes
,,Chapter 6,Integers
,,Chapter 7,Fractions
,,Chapter 8,Decimals
,,Chapter 9,Data Handling
,,Chapter 10,Mensuration
,,Chapter 11,Algebra
,,Chapter 12,Ratio and Proportion
,,Chapter 13,Symmetry
,,Chapter 14,Practical Geometry
,"Science
Biology",Chapter 1,Food: Where Does it Come From?
,,Chapter 2,Components of Food
,Chemistry,Chapter 3,Fiber to Fabric
,,Chapter 4,Sorting Materials into Groups
,,Chapter 5,Separation of Substances
,,Chapter 6,Changes Around Us
,Biology,Chapter 7,Getting to Know Plants
,,Chapter 8,Body Movements
,,Chapter 9,The Living Organisms - Characterstics and Habitats
,Physics,Chapter 10,Motion and Measurement of Distances
,,Chapter 11,"Light, Shadows and Reflections"
,,Chapter 12,Electricity and Circuits
,,Chapter 13,Fun With Magnets
,Chemistry,Chapter 14,Water
,,Chapter 15,Air Around Us
,Biology,Chapter 16,"Garbage In, Garbage Out"
,"Social Science 
History",Chapter 1,"What, Where, How, and When?"
,,Chapter 2,From Hunting-gathering to Growing Food
,,Chapter 3,In the Earliest Cities
,,Chapter 4,What Books and Burials Tell Us?
,,Chapter 5,"Kingdoms, Kings, and an Early Republic"
,,Chapter 6,New Questions and Ideas
,,Chapter 7,Ashoka the Emperor who Gave up War
,,Chapter 8,"Vital Villages, Thriving Towns"
,,Chapter 9,"Traders, Kings, and Pilgrims"
,,Chapter 10,New Empires and Kingdoms
,,Chapter 11,"Buildings, Paintings, and Books"
,Geography,Chapter 1,The Earth in the Solar System
,,Chapter 2,Globe: Latitudes and Longitudes
,,Chapter 3,Motions of the Earth
,,Chapter 4,Maps
,,Chapter 5,Major Domains of the Earth
,,Chapter 6,Major Landforms of the Earth
,,Chapter 7,Our Country- India
,,Chapter 8,"India - Climate, Vegetation, and Wildlife"
,Social and Political Life,Chapter 1,Understanding Diversity
,,Chapter 2,Diversity and Discrimination
,,Chapter 3,What is Government?
,,Chapter 4,Key Elements of a Democratic Government
,,Chapter 5,Panchayati Raj
,,Chapter 6,Rural Administration
,,Chapter 7,Urban Administration
,,Chapter 8,Rural Livelihoods
,,Chapter 9,Urban Livelihoods
,"English
Honeysuckle(Main book)",Chapter 1,Who Did Patrick’s Homework?
,,Poem 1,"A House, A Home"
,,Chapter 2,How the Dog Found Himself a New Master!
,,Poem 2,The Kite
,,Chapter 3,Taro’s Reward
,,Poem 3,The Quarrel
,,chapter 4,An Indian – American Woman in Space: Kalpana Chawla
,,Poem 4,Beauty
,,Chapter 5,A Different Kind of School
,,Poem 5,Where Do All the Teachers Go?
,,Chapter 6,Who I Am
,,Poem 6,The Wonderful Words
,,Chapter 7,Fair Play
,,Chapter 8,A Game of Chance
,,Poem 7,Vocation
,,Chapter 9,Desert Animals
,,Poem 8,What if
,,Chapter 10,The Banyan Tree
,"English
A Pact With The Sun(Supplementary)",Chapter 1,A Tale of Two Birds
,,Chapter 2,The Friendly Mongoose
,,Chapter 3,The Shepherd’s Treasure
,,Chapter 4,The Old-Clock Shop
,,Chapter 5,Tansen
,,Chapter 6,The Monkey and the Crocodile
,,Chapter 7,The Wonder Called Sleep
,,Chapter 8,A Pact with the Sun
,,Chapter 9,What Happened to the Reptiles
,,Chapter 10,A Strange Wrestling Match
,Computer Science,Chapter 1,Computer Languages
,,Chapter 2,More on Windows
,,Chapter 3,Fun with Powerpoint
,,Chapter 4,More on Powerpoint
,,Chapter 5,Working with Spreadsheets
,,Chapter 6,Internet Service
,,Chapter 7,Introduction to Python
,,Chapter 8,Creating Web Pages Using HTML 5
Class 5,Mathematics,Chapter 1,The fish Tale
,,Chapter 2,Shapes and Angles
,,Chapter 3,How Many Squares?
,,Chapter 4,Parts and Wholes
,,Chapter 5,Does it Look the Same?
,,Chapter 6,"Be My Multiple, I’ll be Your Factor"
,,Chapter 7,Can You See the Pattern?
,,Chapter 8,Mapping Your Way
,,Chapter 9,Boxes and Sketches
,,Chapter 10,Tenths and Hundredths
,,Chapter 11,Area and its Boundary
,,Chapter 12,Smart Charts
,,Chapter 13,Ways to Multiply and Divide
,,Chapter 14,How Big? How Heavy?
,EVS,Chapter 1,Super Senses
,,Chapter 2,A Snake Charmer’s Story
,,Chapter 3,From Tasting To Digesting
,,Chapter 4,Mangoes Round The Year
,,Chapter 5,Seeds And Seeds
,,Chapter 6,Every Drop Counts
,,Chapter 7,Experiments With Water
,,Chapter 8,A Treat For Mosquitoes
,,Chapter 9,Up You Go!
,,Chapter 10, Walls Tell Stories
,,Chapter 11,Sunita In Space
,,Chapter 12,What If It Finishes?
,,Chapter 13,A Shelter So High!
,,Chapter 14,When The Earth Shook!
,,Chapter 15,"Blow Hot, Blow Cold"
,,Chapter 16,Who Will Do This Work?
,,Chapter 17,Across The Wall
,,Chapter 18,No Place For Us?
,,Chapter 19,A Seed Tells A Farmers Story
,,Chapter 20,Whose Forests?
,,Chapter 21,"Like Father, Like Daughter"
,,Chapter 22,On The Move Again
,English,Unit 1,"Ice Cream Man
Wonderful Waste!"
,,Unit 2,"Teamwork
Flying Together"
,,Unit 3,"My Shadow
Robinson Crusoe Discovers a Footprint"
,,Unit 4,"Crying
My Elder Brother"
,,Unit 5,"The Lazy Frog
Rip Van Winkle"
,,Unit 6,"Class Discussion
The Talkative Barber"
,,Unit 7,"Topsy-turvy Land
Gulliver’s Travels"
,,Unit 8,"Nobody’s Friend
The Little Bully"
,,Unit 9,Sing a Song of People
,,Unit 10,"Malu-Bhalu
Who will be Ningthou?"
,Hindi,अपनी-अपनी रंगतें,पाठ 1: राख की रस्सी (लोककथा)
,,,पाठ 2: फसलों के त्योहार (लेख)
,,,पाठ 3: खिलौनेवाला (कविता)
,,,पाठ 4: नन्हा फनकार (कहानी)
,,,पाठ 5: जहाँ चाह वहाँ राह (लेख)
,,बात का सफ़र,पाठ 6: चिट्ठी का सफ़र (लेख)
,,,"पाठ 7: डाकिए की कहानी, कुँवरसिंह की जुबानी (भेंटवार्ता)"
,,,पाठ 8: वे दिन भी क्या दिन थे (विज्ञान कथा)
,,,पाठ 9: एक माँ की बेबसी (कविता)
,,मजाखटोला,पाठ 10: एक दिन की बादशाहत (कहानी)
,,,पाठ 11: चावल की रोटियाँ (नाटक)
,,,पाठ 12: गुरु और चेला (कविता)
,,,पाठ 13: स्वामी की दादी (कहानी)
,,आस-पास,पाठ 14: बाघ आया उस रात (कविता)
,,,पाठ 15: बिशन की दिलेरी (कहानी)
,,,पाठ 16: पानी रे पानी (लेख)
,,,पाठ 17: छोटी-सी हमारी नदी (कविता)
,,,पाठ 18: चुनौती हिमालय की (यात्रा वर्णन)
,,Grammar,भाषा और व्याकरण
,,,वर्ण विचार
,,,संज्ञा
,,,"लिंग, वचन और कारक"
,,,सर्वनाम
,,,विशेषण
,,,क्रिया
,,,काल
,,,अविकारी शब्द
,,,शुद्ध वर्तनी
,,,वाक्य
,,,शब्द निर्माण
,,,पर्यायवाची शब्द
,,,विलोम शब्द
,,,श्रुतिसमभिन्नार्थक शब्द
,,,अनेक शब्दों के लिए एक शब्द
,,,विराम-चिह्न
,,,मुहावरे
,,Reading skills,अपठित गद्यांश
,,Writing skills,पत्र लेखन
,,,अनुच्छेद लेखन
,,,कहानी लेखन
,,,
Class 4,Mathematics,Chapter 1,Building with Bricks
,,Chapter 2,Long and Short
,,Chapter 3,A Trip to Bhopal
,,Chapter 4,Tick-Tick-Tick
,,Chapter 5,The Way The World Looks
,,Chapter 6,The Junk Seller
,,Chapter 7,Jugs and Mugs
,,Chapter 8,Carts and Wheels
,,Chapter 9,Halves and Quarters
,,Chapter 10,Play with Patterns
,,Chapter 11,Tables and Shares
,,Chapter 12,How Heavy? How Light?
,,Chapter 13,Fields and Fences
,,Chapter 14, Smart Charts
,EVS,Chapter 1,Going to School
,,Chapter 2,Ear to Ear
,,Chapter 3,A Day with Nandu
,,Chapter 4,The Story of Amrita
,,Chapter 5,Anita and the Honeybees
,,Chapter 6,Omana’s Journey
,,Chapter 7,From the Window
,,Chapter 8,Reaching Grandmother’s House
,,Chapter 9,Changing Families
,,Chapter 10,"Hu Tu Tu, Hu Tu Tu"
,,Chapter 11,The Valley of Flowers
,,Chapter 12,Changing Times
,,Chapter 13,A River’s Tale
,,Chapter 14,Basva’s Farm
,,Chapter 15,From Market to Home
,,Chapter 16,A busy Month
,,Chapter 17,Nandita in Mumbai
,,Chapter 18,"Too Much Water, Too Little Water"
,,Chapter 19,Abdul in the Garden
,,Chapter 20,Eating Together
,,Chapter 21,Food and Fun
,,Chapter 22,The World in my Home
,,Chapter 23,Pochampalli
,,Chapter 24,Home and Abroad
,,Chapter 25,Spicy Riddles
,,Chapter 26,Defence Officer: Wahida
,,Chapter 27,Chuskit Goes to School
,English,Unit 1,"Wake Up!
Neha’s Alarm Clock"
,,Unit 2,"Noses
The Little Fir Tree"
,,Unit 3,"Run!
Nasruddin’s Aim"
,,Unit 4,"Why?
Alice in Wonderland"
,,Unit 5,"Don’t be Afraid of the Dark
Helen Keller"
,,Unit 6,"Hiawatha
The Scholar’s Mother Tongue"
,,Unit 7,"A Watering Rhyme
The Giving Tree
The Donkey"
,,Unit 8,"Books
Going to Buy a Book"
,,Unit 9,"The Naughty Boy
Pinocchio"
Class 3,Mathematics,Chapter 1,Where to Look From
,,Chapter 2,Fun With Numbers
,,Chapter 3,Give and Take
,,Chapter 4,Long and Short
,,Chapter 5,Shapes and Designs
,,Chapter 6,Fun With Give and Take
,,Chapter 7,Time Goes On
,,Chapter 8,Who is Heavier?
,,Chapter 9,How Many Times?
,,Chapter 10,Play With Patterns
,,Chapter 11,Jugs and Mugs
,,Chapter 12,Can We Share?
,,Chapter 13,Smart Charts!
,,Chapter 14,Rupees and Paise
,EVS,Chapter 1,Poonam’s Day out
,,Chapter 2,The Plant Fairy
,,Chapter 3,Water O’ Water!
,,Chapter 4,Our First School
,,Chapter 5,Chhotu’s House
,,Chapter 6,Foods We Eat
,,Chapter 7,Saying without Speaking
,,Chapter 8,Flying High
,,Chapter 9,It’s Raining
,,Chapter 10, What is Cooking
,,Chapter 11,From Here to There
,,Chapter 12,Work We Do
,,Chapter 13,Sharing Our Feelings
,,Chapter 14,The Story of Food
,,Chapter 15,Making Pots
,,Chapter 16,Games We Play
,,Chapter 17,Here comes a Letter
,,Chapter 18,A House Like This
,,Chapter 19,Our Friends – Animals
,,Chapter 20,Drop by Drop
,,Chapter 21,Families can be Different
,,Chapter 22,Left-Right
,,Chapter 23,A Beautiful Cloth
,,Chapter 24,Web of Life
,English,Unit 1,"Good Morning
The Magic Garden"
,,Unit 2,"Bird Talk
Nina and the Baby Sparrows"
,,Unit 3,"Little by Little
The Enormous Turnip"
,,Unit 4,"Sea Song
A Little Fish Story"
,,Unit 5,"The Balloon Man
The Yellow Butterfly"
,,Unit 6,"Trains
The Story of the Road"
,,Unit 7,"Puppy and I
Little Tiger, Big Tiger"
,,Unit 8,"What’s in the Mailbox?
My Silly Sister"
,,Unit 9,"Don’t Tell
He is My Brother"
,,Unit 10,"How Creatures Move
The Ship of the Desert"
GRADE 2,English,Course Book - Lesson 1 ,"Goldilocks and the three bears, poem - what is pink grammar? "
,,Work Book - Lesson 1 ,Worksheet- Goldilocks and the 3 bears 
,,Grammar Lesson 1 ,Naming Words that are Nouns
,,CourseBook - Lesson 2,The Ant and the Grasshopper 
,,Workbook - Lesson 2,The Ant and the Grasshopper 
,,Grammar Lesson 2,Singular and Plural
,,Coursebook - Lesson 3,Tina's books
,,CourseBook - Lesson 4,Echo
,,Workbook - worksheet 3,The test 
,,Grammar - Lesson 4,Articles 
,,CourseBook - Lesson 5 ,"The spiders lesson, poem - My hat"
,,Grammar Lesson 5,Pronouns 
,,Grammar Lesson 6,Describing words are adjectives 
,,Coursebook - Lesson 8,"The hidden gift, poem - come little leaves"
,,Grammar Lesson 7 ,Actions words are verbs 
,,Coursebook Lesson 9 ,Things are Puzzling 
,,Grammar Lesson 8 &9,"Verbs Present and past, Helping Verbs "
,,Coursebook Lesson 20,"The Beach, Poem - The Moon "
,,Grammar Lesson 10 ,Verb+ing 
,,Grammar Lesson 11,Prepositions 
,,Grammar Lesson 12,Sentences 
,,Grammar Lesson 13,Linking Words 
,,Grammar Lesson 14,Comprehension 
,,Grammer Lesson 15 ,Composition 
,MATHS,Chapter 1,Numbers 100-200
,,Chapter 2,Numbers 201-1000
,,Chapter 3 ,Additon
,,Chapter 4 ,Subtraction 
,,chapter 5 ,Multiplication 
,,Chapter 6,Divison
,,Chapter 7 ,Basic Geometry
,,Chapter 8 ,time
,,Chapter 9,Money
,,Chapter 10 ,Measurement 
,,Chapter 11,Data Handling 
,,Chapter 12 ,Patterns 
,EVS,Lesson 1,My family and i
,,Lesson 2,Inside our Body
,,Lesson 3,Food and Health
,,Lesson 4,Houses we live in 
,,Lesson 5,Being healthy and strong 
,,Lesson 6 ,Games we play
,,Lesson 8,Things around us
,,Lesson 9,The plants 
,COMPUTER SCIENCE ,Lesson 1,Computer a smart machine
,,Lesson 2 ,Parts of a computer 
,,Lesson 7,Introduction to Scratch junior
,,Lesson 8,Animation in Scratch junior 
,SPECIAL TELUGU,Lesson 1,Family Members
,,Lesson 2,Varnmala 
,,Lesson 3,Names of Fruits/ Vegetabes/Flowers
,,Lesson 4,Names of week days
GRADE 1,ENGLISH,Coursebook - Lesson 1,Meet my family 
,,Coursebook - Lesson 2,"Off to school, poem - wake up time"
,,Coursebook - Lesson 3,Making new friends 
,,Grammar ,1. Naming Words
,,,2. Common Noun and Exact Noun (proper noun) 
,,Coursebook - Lesson 3,Making new friends 
,,Coursebook - Lesson 4,Let's have lunch (OTBA)
,,Grammar,1. Singular/ Plural (one/many)
,,,2. Action words 
,,Coursebook - Lesson 5,"The rabbit and the turtle, poem - the shell"
,,Grammar ,1. Articles: a/an
,,,2. Pronouns 
,,Coursebook - Lesson 6,"Picnic in the woods, poem - save each drop "
,,Grammar,Describing words  (adjectives)
,,Coursebook - Lesson 8,Thank you 
,,Coursebook Lesson 7,The New Watchman (OTBA)
,,Grammar,1. Simple Present 
,,,"2. Demonstrative Pronouns (This, that, These, Those)"
,,Coursebook - Lesson 9,"Brave Debby, Poem: Things I do "
,,Grammar ,1. Place words
,,,2. Punctuation 
,,Coursebook - Lesson 10,"Come, let us play, poem - Ice cream time "
,,Grammar ,1. Recap of punctuation
,,,2. Sentences 
,MATHEMATICS,Chapter 1,Numbers 1-9
,,Chapter 2,Addition
,,Chapter 3,Subtraction
,,Chapter 4,Positions
